Grapheme	GraphFrequency	WordFrequency	Difference
차	318	2	316
곡	320	1	319
합	336	7	329
벌	347	16	331
창	344	4	340
술	367	25	342
담	359	9	350
풀	387	18	369
힘	382	11	371
궁	375	3	372
끌	387	4	383
찬	392	8	384
메	386	1	385
겨	395	5	390
셋	399	2	397
몸	417	13	404
된	649	244	405
질	424	18	406
섬	412	5	407
박	424	5	419
본	515	95	420
칼	433	12	421
체	436	13	423
싸	432	1	431
굴	443	9	434
통	436	1	435
석	448	7	441
짐	455	6	449
옷	493	35	458
팔	486	24	462
국	467	1	466
쳐	532	61	471
둘	545	47	498
권	503	1	502
벨	540	7	533
개	545	6	539
칠	610	71	539
교	542	1	541
연	547	2	545
공	557	6	551
육	559	8	551
친	584	31	553
절	557	1	556
줄	855	299	556
움	563	1	562
눈	614	38	576
판	610	30	580
법	589	8	581
침	601	7	594
믿	608	2	606
타	616	2	614
번	652	36	616
재	648	9	639
해	755	107	648
화	736	73	663
배	694	21	673
않	674	1	673
읍	677	2	675
병	695	17	678
약	705	7	698
외	705	1	704
언	710	1	709
강	764	48	716
반	782	63	719
간	756	30	726
년	747	11	736
난	937	200	737
떠	763	6	757
키	760	2	758
달	828	39	789
분	795	4	791
관	807	8	799
케	803	1	802
민	805	1	804
막	809	4	805
처	815	3	812
회	832	6	826
터	834	4	830
온	1659	823	836
굽	847	1	846
발	914	64	850
올	921	60	861
천	878	7	871
새	1025	152	873
곳	923	46	877
파	879	2	877
귀	907	13	894
군	899	1	898
향	921	6	915
암	939	3	936
갈	1039	91	948
피	998	50	948
목	1005	9	996
건	1001	1	1000
편	1028	20	1008
즉	1024	10	1014
광	1024	6	1018
형	1063	34	1029
후	1106	76	1030
문	1123	83	1040
금	1126	81	1045
경	1074	1	1073
먹	1087	3	1084
각	1360	261	1099
길	1152	51	1101
베	1114	9	1105
복	1132	22	1110
윗	1132	12	1120
남	1132	2	1130
열	1371	220	1151
양	1222	70	1152
선	1200	32	1168
울	1177	7	1170
집	1351	153	1198
십	1424	212	1212
동	1222	8	1214
단	1425	183	1242
입	1252	8	1244
산	1453	153	1300
악	1340	2	1338
죄	1449	55	1394
종	1601	200	1401
삼	1420	18	1402
실	1441	1	1440
알	1480	40	1440
늘	1476	19	1457
생	1570	2	1568
진	1711	133	1578
당	1595	5	1590
불	1688	77	1611
날	1762	118	1644
앞	1729	83	1646
방	1665	13	1652
운	1760	1	1759
안	1842	42	1800
돌	1865	42	1823
영	1865	9	1856
데	1959	42	1917
속	1932	11	1921
살	2088	35	2053
원	2069	4	2065
상	2122	27	2095
매	2156	51	2105
두	2728	619	2109
명	2125	3	2122
못	2203	62	2141
비	2168	11	2157
없	2171	14	2157
심	2293	1	2292
전	2461	146	2315
땅	2641	322	2319
중	2648	301	2347
때	2419	33	2386
네	5380	2744	2636
백	2714	13	2701
물	2942	101	2841
왕	3493	550	2943
구	2950	4	2946
노	2965	1	2964
할	3516	517	2999
예	3150	6	3144
장	3174	16	3158
만	3301	3	3298
바	3817	227	3590
손	3727	33	3694
음	3717	13	3704
위	3797	26	3771
세	3918	135	3783
엘	4015	1	4014
신	4125	58	4067
함	4100	8	4092
소	4141	30	4111
제	4376	250	4126
오	4174	17	4157
든	4217	40	4177
있	4473	1	4472
더	4704	207	4497
저	4640	126	4514
수	4995	445	4550
요	4603	3	4600
성	4928	118	4810
인	5243	9	5234
보	5318	1	5317
일	5741	95	5646
람	5765	1	5764
주	6751	671	6080
대	6757	6	6751
한	8221	1281	6940
말	7155	123	7032
되	8296	3	8293
것	8878	217	8661
너	9435	63	9372
과	9492	1	9491
도	9623	14	9609
내	13219	3194	10025
시	10643	91	10552
은	10671	106	10565
그	24497	12292	12205
다	15279	1318	13961
와	14628	9	14619
자	15293	455	14838
사	15122	21	15101
들	16111	22	16089
게	17595	2	17593
서	17645	14	17631
고	18009	14	17995
지	18672	21	18651
를	18665	12	18653
아	20131	2	20129
로	20853	2	20851
니	21761	1	21760
는	21774	2	21772
나	22432	593	21839
의	25188	11	25177
을	28408	10	28398
라	30180	5	30175
가	32687	18	32669
에	35570	3	35567
하	54950	3	54947
이	59336	2907	56429
