!	1251
(	60
)	60
,	95112
-	1
.	51442
1	14
1,000	3
1,000,000	2
1,100,000	1
1,760	1
1.3	1
1.5	2
1/2	2
10	235
10,000	35
100	76
100,000	5
1000	90
10000	1
1017	2
105	1
1052	2
11	35
110	10
1100	2
112	3
119	1
12	175
12,000	21
12.5	17
120	7
120,000	6
1200	1
122	2
1222	1
123	3
1247	2
125	4
1250	1
1254	4
1260	2
127	4
128	4
1290	1
13	30
130	4
133	2
1335	1
1365	1
137	3
138	1
139	1
14	45
14,000	1
14,700	1
140	2
1400	2
144,000	4
147	1
148	1
15	27
15,000	2
150	8
153	1
153,600	1
156	1
16	20
16,000	2
160	1
162	1
168	2
17	11
17,200	1
17.5	10
170	1
1700	2
172	1
175	1
18	24
18,000	5
180	1
180,000	3
182	1
185,000	2
187	1
188	1
19	4
2	25
2,300	2
2,800	1
2.2	5
2.5	9
2.7	1
20	96
20,000	6
20,200	1
20,800	1
200	39
200,000	4
2000	22
205	1
2056	1
2067	1
207	1
209	1
21	7
212	1
2172	2
218	1
22	29
22,000	7
22,034	1
22,200	1
22,273	1
22,600	1
220	2
223	2
2250	3
23	11
23,000	4
230	1
232	1
2322	1
24	24
24,000	15
240	1
2400	3
242	1
2425	1
245	3
25	30
25,000	1
25,100	1
250	13
250,000	1
26	1
26,000	2
26,700	1
2600	2
27	13
27,000	1
2700	1
273	3
276	1
28	3
28,600	1
280,000	2
2812	1
2818	1
284	1
288	2
29	7
3	67
3,300	1
3,400	1
3.1	1
3.5	1
30	84
30,000	7
30,500	2
300	24
300,000	4
3000	19
3023	1
307,500	1
31	4
318	1
32	12
32,000	2
32,200	1
32,500	1
320	2
323	1
324	1
328	1
33	7
337,500	2
34	4
34,000	3
340	1
340,000	1
3400	9
3430	1
345	2
35	9
35,400	1
350	1
36	4
36,000	3
360	1
3600	2
3630	1
365	1
37	2
37,000	1
3700	1
372	2
38	5
38,000	1
39	4
390	4
392	2
3930	1
4	303
4.4	4
4.5	1
40	96
40,000	7
40,500	2
400	19
400,000	6
4000	12
403	2
41	5
41,500	1
410	1
42	9
42,000	1
42,360	2
43,730	1
430	4
435	2
44	9
44,760	1
440	1
45	10
45,400	1
45,600	1
45,650	1
450	4
454	1
46	1
46,500	1
4600	2
468	1
470,000	1
48	2
480	1
483	1
49	1
490	1
5	197
5.3	1
50	92
50,000	3
500	20
500,000	2
5000	17
52	6
52,700	1
53,400	2
530	1
54	1
54,400	1
5400	1
55	2
550	1
56	1
57	1
57,400	1
59,300	1
595	1
6	148
6.5	1
60	31
60,000	2
60,500	1
600	19
600,000	2
6000	7
601	1
601,730	1
603,550	3
61	1
61,000	1
62	2
62,700	1
620	1
6200	1
621	2
623	1
628	1
64,300	1
64,400	1
642	2
648	1
65	3
652	2
655	1
66	15
666	2
667	1
67	1
6720	2
675	1
675,000	1
68	1
6800	1
690	1
7	497
7-7	2
70	46
70,000	5
700	6
7000	10
7100	1
72	1
72,000	1
721	1
725	1
7337	2
736	2
74	2
74,600	1
743	2
745	1
75	5
75,000	1
7500	1
